experiment,strain,beads,volume,OD_morning_mean,OD_morning_stdev,OD_afternoon_mean,OD_afternoon_stdev,,,,,,,,,
ttubes,SP286,FALSE,1,1.81,0.186,7.38,0.956,,,,,,,,,
ttubes,SP286,TRUE,1,1.52,0.165,5.98,0.109,,,,,,,,,
ttubes,SP286,FALSE,2,2.56,0.079,9.46,0.663,,,,,,,,,
ttubes,SP286,TRUE,2,1.82,0.051,9.47,0.91,,,,,,,,,
ttubes,SP286,FALSE,3,1.95,0.281,5.31,0.709,,,,,,,,,
ttubes,SP286,TRUE,3,2.05,0.061,10.2,1.085,,,,,,,,,
ttubes,SP286,FALSE,4,1.27,0.409,3.24,0.003,,,,,,,,,
ttubes,SP286,TRUE,4,2.1,0.191,9.18,0.37,,,,,,,,,
ttubes,SP286,FALSE,5,1.76,0.574,3.9,1.996,,,,,,,,,
ttubes,SP286,TRUE,5,2.1,0.076,8.65,0.764,,,,,,,,,
ttubes,dea2^,FALSE,1,1.16,0.191,2.91,0.335,,,,,,,,,
ttubes,dea2^,TRUE,1,1.01,0.053,2.34,0.09,,,,,,,,,
ttubes,dea2^,FALSE,2,1.17,0.131,4.23,0.119,,,,,,,,,
ttubes,dea2^,TRUE,2,1.02,0.079,3.19,0.46,,,,,,,,,
ttubes,dea2^,FALSE,3,1.11,0.082,2.59,0.347,,,,,,,,,
ttubes,dea2^,TRUE,3,1.14,0.025,4.66,0.486,,,,,,,,,
ttubes,dea2^,FALSE,4,0.84,0.038,2.35,0.447,,,,,,,,,
ttubes,dea2^,TRUE,4,1.27,0.151,5.15,0.415,,,,,,,,,
ttubes,dea2^,FALSE,5,1.04,0.157,2.25,0.292,,,,,,,,,
ttubes,dea2^,TRUE,5,0.99,0.102,4.4,0.334,,,,,,,,,
24-well,SP286,FALSE,1,1.45,0.051,5.81,0.682,,,,,,,,,
24-well,SP286,TRUE,1,1.31,0.11,4.61,0.63,,,,,,,,,
24-well,SP286,FALSE,2,1.44,0.079,7.45,0.846,,,,,,,,,
24-well,SP286,TRUE,2,1.68,0.355,5.71,0.267,,,,,,,,,
24-well,SP286,FALSE,3,1.78,0.017,6.71,0.405,,,,,,,,,
24-well,SP286,TRUE,3,1.62,0.242,5.99,0.724,,,,,,,,,
24-well,SP286,FALSE,4,1.66,0.227,4.44,0.323,,,,,,,,,
24-well,SP286,TRUE,4,2.18,0.409,6.77,0.341,,,,,,,,,
24-well,SP286,FALSE,5,1.53,0.087,3.48,0.259,,,,,,,,,
24-well,SP286,TRUE,5,1.36,0.248,5.85,0.341,,,,,,,,,
24-well,dea2^,FALSE,1,0.88,0.121,2.73,0.723,,,,,,,,,
24-well,dea2^,TRUE,1,0.79,0.06,2.21,0.571,,,,,,,,,
24-well,dea2^,FALSE,2,0.97,0.079,4.92,1.677,,,,,,,,,
24-well,dea2^,TRUE,2,1.29,0.221,2.87,1.3,,,,,,,,,
24-well,dea2^,FALSE,3,1.2,0.017,3.12,0.247,,,,,,,,,
24-well,dea2^,TRUE,3,1.16,0.093,3.11,0.103,,,,,,,,,
24-well,dea2^,FALSE,4,1.37,0.227,2.7,0.078,,,,,,,,,
24-well,dea2^,TRUE,4,1.28,0.17,3.22,0.192,,,,,,,,,
24-well,dea2^,FALSE,5,1.11,0.087,2.55,0.781,,,,,,,,,
24-well,dea2^,TRUE,5,1.36,0.078,3,0.3,,,,,,,,,
96-well,SP286,FALSE,1,0.42,0.09,0.42,0.054,,,,,,,,,
96-well,SP286,TRUE,1,0.46,0.25,3.85,0.732,,,,,,,,,
96-well,dea2^,FALSE,1,0.39,0.09,0.42,0.032,,,,,,,,,
96-well,dea2^,TRUE,1,0.79,0.61,1.99,0.662,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
