axis_major_length,area,length,source_file,well_letter,well_num,strain,treatment,volume_ml,volume_group,bead_present
16.3183504081,62.74125,16.3183504081,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
17.5229817806,69.31640625,17.5229817806,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
25.0696557868,101.928125,25.0696557868,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
26.6122528635,87.351875,26.6122528635,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
24.6671701048,84.5,24.6671701048,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
29.6728096963,119.5146875,29.6728096963,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
20.4645947469,100.026875,20.4645947469,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
5.62455987672,12.2525,5.62455987672,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
17.9355520697,97.35984375,17.9355520697,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
15.3947965752,59.91578125,15.3947965752,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
16.4785851444,67.09828125,16.4785851444,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
10.7602289573,41.405,10.7602289573,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
8.57587026302,29.39015625,8.57587026302,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
18.0162431347,75.205,18.0162431347,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
8.83393615984,37.18,8.83393615984,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
21.8989431589,80.14296875,21.8989431589,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
7.25215115667,12.7278125,7.25215115667,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
21.8716229613,90.62625,21.8716229613,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
14.4228424712,59.5725,14.4228424712,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
6.4064591617,20.94015625,6.4064591617,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
18.7617140737,67.2303125,18.7617140737,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
12.9632961138,49.45890625,12.9632961138,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
16.4339685089,49.72296875,16.4339685089,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
22.4708863501,97.0165625,22.4708863501,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
4.57542219016,7.81625,4.57542219016,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
22.1654504683,87.27265625,22.1654504683,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
7.00455290579,22.15484375,7.00455290579,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
17.6416236256,47.13515625,17.6416236256,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
25.1154424819,91.26,25.1154424819,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,dea2^,NONE,,,False
